task_idx,query_loss,query_accuracy,final_support_loss,num_sgd_steps,lr
0,0.7054708003997803,0.5,0.09545446932315826,100,0.001
1,1.1259475946426392,0.5,0.0759831890463829,100,0.001
2,0.7429329752922058,0.30000001192092896,0.11541557312011719,100,0.001
3,0.7058468461036682,0.699999988079071,0.10316476970911026,100,0.001
4,0.7057239413261414,0.6000000238418579,0.06757207959890366,100,0.001
5,0.6846404671669006,0.6000000238418579,0.07757799327373505,100,0.001
6,0.601628303527832,0.699999988079071,0.08664024621248245,100,0.001
7,0.8015884757041931,0.6000000238418579,0.07930543273687363,100,0.001
8,0.7302132844924927,0.4000000059604645,0.07565908879041672,100,0.001
9,0.9291412234306335,0.6000000238418579,0.11546643078327179,100,0.001
10,0.6499575972557068,0.699999988079071,0.09070369601249695,100,0.001
11,0.7567797303199768,0.5,0.09990861266851425,100,0.001
12,0.7872193455696106,0.5,0.1222740188241005,100,0.001
13,0.6800816059112549,0.6000000238418579,0.10401791334152222,100,0.001
14,1.226436734199524,0.30000001192092896,0.07991758733987808,100,0.001
15,0.8483810424804688,0.4000000059604645,0.0982561931014061,100,0.001
16,0.5446531772613525,0.800000011920929,0.07637842744588852,100,0.001
17,0.5835447311401367,0.6000000238418579,0.1131853386759758,100,0.001
18,0.5437166690826416,0.699999988079071,0.07270180433988571,100,0.001
19,0.7009626030921936,0.5,0.08578212559223175,100,0.001
20,0.7827332019805908,0.5,0.0633830651640892,100,0.001
21,0.7439669966697693,0.4000000059604645,0.072463758289814,100,0.001
22,0.728913426399231,0.6000000238418579,0.09211006760597229,100,0.001
23,0.7411121726036072,0.5,0.08578621596097946,100,0.001
24,0.5752205848693848,0.699999988079071,0.10599740594625473,100,0.001
25,0.8548461198806763,0.6000000238418579,0.059398334473371506,100,0.001
26,0.8949106335639954,0.5,0.07270990312099457,100,0.001
27,0.7532018423080444,0.4000000059604645,0.11278548091650009,100,0.001
28,0.8306946158409119,0.5,0.07615651935338974,100,0.001
29,0.7116624712944031,0.699999988079071,0.09368807077407837,100,0.001
30,0.6609072685241699,0.6000000238418579,0.0775611400604248,100,0.001
31,0.9633909463882446,0.5,0.08476969599723816,100,0.001
32,0.832135796546936,0.699999988079071,0.08289764821529388,100,0.001
33,0.6402163505554199,0.5,0.12358386814594269,100,0.001
34,0.6655865907669067,0.6000000238418579,0.08937840163707733,100,0.001
35,0.6937679648399353,0.6000000238418579,0.10957591980695724,100,0.001
36,0.8546760678291321,0.5,0.10227246582508087,100,0.001
37,0.6940547823905945,0.5,0.07845702022314072,100,0.001
38,0.7384352087974548,0.5,0.10435705631971359,100,0.001
39,0.7770760655403137,0.6000000238418579,0.09018369764089584,100,0.001
40,0.6020724177360535,0.800000011920929,0.08429844677448273,100,0.001
41,1.507110595703125,0.5,0.060722578316926956,100,0.001
42,0.7027888894081116,0.4000000059604645,0.11955171823501587,100,0.001
43,1.258726716041565,0.5,0.07136333733797073,100,0.001
44,0.900016725063324,0.5,0.0903249979019165,100,0.001
45,0.6474743485450745,0.6000000238418579,0.08649133890867233,100,0.001
46,0.7512664794921875,0.5,0.09800464659929276,100,0.001
47,0.9406835436820984,0.5,0.10065998882055283,100,0.001
48,0.6633613705635071,0.5,0.11731170862913132,100,0.001
49,0.7004862427711487,0.4000000059604645,0.0888107642531395,100,0.001
50,0.6981207728385925,0.5,0.09302042424678802,100,0.001
51,0.7373921275138855,0.5,0.0845920667052269,100,0.001
52,2.636007785797119,0.5,0.07773808389902115,100,0.001
53,0.7106118202209473,0.699999988079071,0.08070763200521469,100,0.001
54,0.7343767285346985,0.4000000059604645,0.11575200408697128,100,0.001
55,0.9877163171768188,0.5,0.08448585122823715,100,0.001
56,0.7471883893013,0.5,0.08656088262796402,100,0.001
57,0.8951194882392883,0.5,0.06885188817977905,100,0.001
58,0.7703208327293396,0.30000001192092896,0.08344566076993942,100,0.001
59,1.0659123659133911,0.5,0.09182275831699371,100,0.001
60,1.0534448623657227,0.6000000238418579,0.09533748775720596,100,0.001
61,0.7484688758850098,0.6000000238418579,0.08936401456594467,100,0.001
62,0.8345869183540344,0.5,0.07093553990125656,100,0.001
63,0.6904729604721069,0.6000000238418579,0.11835875362157822,100,0.001
64,1.2204500436782837,0.5,0.07601843029260635,100,0.001
65,0.7082630395889282,0.5,0.07305485755205154,100,0.001
66,0.7701639533042908,0.6000000238418579,0.07037443667650223,100,0.001
67,0.6697560548782349,0.6000000238418579,0.07512331753969193,100,0.001
68,0.7188741564750671,0.6000000238418579,0.10825848579406738,100,0.001
69,0.7749356031417847,0.4000000059604645,0.08496908098459244,100,0.001
70,0.7362849116325378,0.5,0.07663766294717789,100,0.001
71,0.7656905055046082,0.5,0.10982733964920044,100,0.001
72,0.7068530321121216,0.5,0.0780065655708313,100,0.001
73,0.6671891212463379,0.6000000238418579,0.07558876276016235,100,0.001
74,0.7794379591941833,0.4000000059604645,0.12155332416296005,100,0.001
75,0.6839860081672668,0.5,0.08413546532392502,100,0.001
76,0.6997141242027283,0.699999988079071,0.08051549643278122,100,0.001
77,0.6165607571601868,0.699999988079071,0.11151430755853653,100,0.001
78,0.6922527551651001,0.5,0.10822891443967819,100,0.001
79,0.7022483944892883,0.6000000238418579,0.08672920614480972,100,0.001
80,0.7163499593734741,0.6000000238418579,0.09287441521883011,100,0.001
81,0.9463228583335876,0.5,0.073981873691082,100,0.001
82,0.6949561238288879,0.5,0.093259796500206,100,0.001
83,0.8931193351745605,0.5,0.10030688345432281,100,0.001
84,0.6431044936180115,0.6000000238418579,0.11131825298070908,100,0.001
85,0.7756595015525818,0.4000000059604645,0.08660168945789337,100,0.001
86,0.7645239233970642,0.5,0.09668950736522675,100,0.001
87,0.9478112459182739,0.5,0.0742221474647522,100,0.001
88,1.044938087463379,0.30000001192092896,0.0626874789595604,100,0.001
89,0.5827994346618652,0.699999988079071,0.07856770604848862,100,0.001
90,0.9728487133979797,0.5,0.08566804230213165,100,0.001
91,0.7374511361122131,0.5,0.10193140804767609,100,0.001
92,0.8147128224372864,0.5,0.08351238816976547,100,0.001
93,0.7724034190177917,0.4000000059604645,0.0803234726190567,100,0.001
94,0.7062080502510071,0.5,0.09640917181968689,100,0.001
95,0.8421443104743958,0.5,0.0902414470911026,100,0.001
96,0.7567620277404785,0.4000000059604645,0.11050247400999069,100,0.001
97,1.0189895629882812,0.5,0.0716477707028389,100,0.001
98,0.7757682800292969,0.5,0.09986823797225952,100,0.001
99,0.7856480479240417,0.5,0.10755963623523712,100,0.001
100,0.8238111734390259,0.5,0.10843580216169357,100,0.001
101,0.7163242697715759,0.6000000238418579,0.07267697900533676,100,0.001
102,0.5777039527893066,0.699999988079071,0.10550230741500854,100,0.001
103,0.7287050485610962,0.5,0.10991618782281876,100,0.001
104,0.6747092604637146,0.6000000238418579,0.06694408506155014,100,0.001
105,1.304076075553894,0.5,0.0851508229970932,100,0.001
106,0.8665836453437805,0.5,0.09460385888814926,100,0.001
107,0.650667667388916,0.5,0.1307632327079773,100,0.001
108,0.7821002006530762,0.5,0.07034172862768173,100,0.001
109,0.8095191121101379,0.5,0.0804828330874443,100,0.001
110,0.8144521117210388,0.4000000059604645,0.09617283195257187,100,0.001
111,0.6234900951385498,0.699999988079071,0.06883444637060165,100,0.001
112,0.9932258725166321,0.5,0.08277014642953873,100,0.001
113,0.7650426030158997,0.5,0.07715161144733429,100,0.001
114,0.6058292388916016,0.699999988079071,0.07812677323818207,100,0.001
115,0.7586265802383423,0.5,0.09283698350191116,100,0.001
116,0.7742447853088379,0.699999988079071,0.08040572702884674,100,0.001
117,0.6663891077041626,0.6000000238418579,0.10133663564920425,100,0.001
118,0.7875247001647949,0.5,0.07366149127483368,100,0.001
119,0.5799722075462341,0.800000011920929,0.07501818239688873,100,0.001
120,0.6651462316513062,0.5,0.1011863574385643,100,0.001
121,0.9498801231384277,0.30000001192092896,0.08968733251094818,100,0.001
122,0.751020610332489,0.5,0.0777319148182869,100,0.001
123,0.7752223014831543,0.5,0.10172031074762344,100,0.001
124,0.7795495986938477,0.5,0.10628800839185715,100,0.001
125,0.7187497019767761,0.30000001192092896,0.10206788778305054,100,0.001
126,1.201599359512329,0.5,0.08286532014608383,100,0.001
127,0.7020427584648132,0.5,0.09650763124227524,100,0.001
128,0.7496427893638611,0.30000001192092896,0.10012717545032501,100,0.001
129,0.7252023816108704,0.4000000059604645,0.09612090140581131,100,0.001
130,0.949074387550354,0.4000000059604645,0.08634763956069946,100,0.001
131,0.6834853291511536,0.5,0.10996314138174057,100,0.001
132,1.4284019470214844,0.5,0.10606934130191803,100,0.001
133,0.7172299027442932,0.5,0.09065773338079453,100,0.001
134,0.8687190413475037,0.5,0.08359409123659134,100,0.001
135,0.5313693881034851,0.800000011920929,0.09701492637395859,100,0.001
136,0.7658247351646423,0.5,0.08781019598245621,100,0.001
137,0.8043361902236938,0.5,0.07109854370355606,100,0.001
138,0.6473832130432129,0.6000000238418579,0.1455007642507553,100,0.001
139,0.7324252128601074,0.6000000238418579,0.111025370657444,100,0.001
140,0.6577457785606384,0.4000000059604645,0.09495862573385239,100,0.001
141,0.9694895148277283,0.5,0.12949705123901367,100,0.001
142,0.6410309672355652,0.699999988079071,0.10041184723377228,100,0.001
143,1.393683910369873,0.5,0.0695253238081932,100,0.001
144,0.6454467177391052,0.5,0.08989071100950241,100,0.001
145,0.9433726668357849,0.5,0.08312108367681503,100,0.001
146,0.7418989539146423,0.6000000238418579,0.09072893112897873,100,0.001
147,0.7933651804924011,0.699999988079071,0.09498656541109085,100,0.001
148,0.8127221465110779,0.4000000059604645,0.10352275520563126,100,0.001
149,0.6622652411460876,0.6000000238418579,0.09444353729486465,100,0.001
150,0.8628299832344055,0.5,0.10643541067838669,100,0.001
151,0.7848677635192871,0.5,0.0986967608332634,100,0.001
152,0.7329582571983337,0.4000000059604645,0.08711838722229004,100,0.001
153,0.9838737845420837,0.5,0.07479333877563477,100,0.001
154,0.7433497309684753,0.5,0.11387522518634796,100,0.001
155,0.708035409450531,0.5,0.08822400867938995,100,0.001
156,0.9056898355484009,0.4000000059604645,0.0847146138548851,100,0.001
157,0.5329623818397522,0.9000000357627869,0.13686950504779816,100,0.001
158,0.7235820889472961,0.6000000238418579,0.09490954130887985,100,0.001
159,0.8456190228462219,0.5,0.08792363852262497,100,0.001
160,0.7439648509025574,0.5,0.11883505433797836,100,0.001
161,0.7994278073310852,0.5,0.09634169191122055,100,0.001
162,0.7465441226959229,0.5,0.10700378566980362,100,0.001
163,0.8333280682563782,0.5,0.07590492814779282,100,0.001
164,0.7643212676048279,0.5,0.10187138617038727,100,0.001
165,0.885906994342804,0.6000000238418579,0.07749497145414352,100,0.001
166,0.7803786396980286,0.5,0.08042312413454056,100,0.001
167,0.7447177171707153,0.5,0.11481306701898575,100,0.001
168,0.8309097290039062,0.4000000059604645,0.08172786235809326,100,0.001
169,0.7103694081306458,0.699999988079071,0.08443953841924667,100,0.001
170,0.7141463160514832,0.5,0.09920906275510788,100,0.001
171,0.7781181335449219,0.5,0.08491561561822891,100,0.001
172,0.7761409282684326,0.5,0.10564043372869492,100,0.001
173,0.6791129112243652,0.699999988079071,0.07366836071014404,100,0.001
174,0.7704510688781738,0.4000000059604645,0.07755529135465622,100,0.001
175,0.8716019988059998,0.6000000238418579,0.10997475683689117,100,0.001
176,1.3736820220947266,0.5,0.06592985987663269,100,0.001
177,0.9098042845726013,0.5,0.08769125491380692,100,0.001
178,0.9711087346076965,0.5,0.09569384157657623,100,0.001
179,0.8105735778808594,0.5,0.0813087522983551,100,0.001
180,0.7499966025352478,0.5,0.07228733599185944,100,0.001
181,0.6348652839660645,0.5,0.1025499626994133,100,0.001
182,1.0220164060592651,0.5,0.0919087752699852,100,0.001
183,0.7733664512634277,0.4000000059604645,0.07290174067020416,100,0.001
184,0.686641275882721,0.5,0.08280136436223984,100,0.001
185,0.7211472988128662,0.4000000059604645,0.1024753674864769,100,0.001
186,0.8222060203552246,0.4000000059604645,0.09709061682224274,100,0.001
187,0.680679440498352,0.5,0.11372216045856476,100,0.001
188,0.6410738825798035,0.5,0.10360681265592575,100,0.001
189,0.8247286081314087,0.5,0.0907224640250206,100,0.001
190,0.723282516002655,0.5,0.07297982275485992,100,0.001
