task_idx,query_loss,query_accuracy,final_support_loss,num_sgd_steps,lr
0,0.7122872471809387,0.6000000238418579,0.07578716427087784,100,0.001
1,0.8996099829673767,0.5,0.07494302839040756,100,0.001
2,0.7641783952713013,0.4000000059604645,0.09463464468717575,100,0.001
3,1.0593894720077515,0.5,0.09335695952177048,100,0.001
4,0.4854927062988281,0.9000000357627869,0.07078971713781357,100,0.001
5,0.7682173848152161,0.5,0.10815019905567169,100,0.001
6,0.965347409248352,0.5,0.09377899020910263,100,0.001
7,0.6833497285842896,0.5,0.08694576472043991,100,0.001
8,0.7739765048027039,0.4000000059604645,0.08727824687957764,100,0.001
9,0.7618598341941833,0.6000000238418579,0.08370029926300049,100,0.001
10,0.7984450459480286,0.4000000059604645,0.10073397308588028,100,0.001
11,0.657867431640625,0.699999988079071,0.09728517383337021,100,0.001
12,0.7135817408561707,0.6000000238418579,0.07403354346752167,100,0.001
13,0.762528657913208,0.5,0.09453889727592468,100,0.001
14,0.7767513990402222,0.5,0.0834931954741478,100,0.001
15,0.6406850218772888,0.699999988079071,0.07506992667913437,100,0.001
16,0.706896185874939,0.5,0.12220572680234909,100,0.001
17,0.6007718443870544,0.699999988079071,0.09042444080114365,100,0.001
18,0.6669467091560364,0.5,0.07301178574562073,100,0.001
19,0.7379938960075378,0.5,0.09949138015508652,100,0.001
20,0.710733950138092,0.5,0.12303530424833298,100,0.001
21,0.8834232687950134,0.6000000238418579,0.06505274027585983,100,0.001
22,0.907765805721283,0.5,0.07145616412162781,100,0.001
23,0.7359728813171387,0.5,0.08953902870416641,100,0.001
24,0.8688729405403137,0.5,0.06855058670043945,100,0.001
25,0.7563108801841736,0.5,0.08557071536779404,100,0.001
26,0.7667044997215271,0.5,0.07642637938261032,100,0.001
27,0.7348476648330688,0.5,0.09151684492826462,100,0.001
28,0.6729208827018738,0.5,0.08699221163988113,100,0.001
29,0.7966527342796326,0.5,0.11223699152469635,100,0.001
30,0.6676128506660461,0.6000000238418579,0.1215939074754715,100,0.001
