task_idx,query_loss,query_accuracy,final_support_loss,num_sgd_steps,lr
0,0.488992840051651,0.800000011920929,0.06985054910182953,100,0.001
1,0.5558430552482605,0.9000000357627869,0.09318932145833969,100,0.001
2,0.7337489128112793,0.5,0.10959374904632568,100,0.001
3,0.5955553650856018,0.800000011920929,0.10780677944421768,100,0.001
4,0.8056238293647766,0.5,0.06968596577644348,100,0.001
5,0.6202130317687988,0.699999988079071,0.09880923479795456,100,0.001
6,0.6972905397415161,0.5,0.06927799433469772,100,0.001
7,0.7031640410423279,0.5,0.07326840609312057,100,0.001
8,0.4870125949382782,0.6000000238418579,0.08557768911123276,100,0.001
9,0.5734239816665649,0.699999988079071,0.10446186363697052,100,0.001
10,0.9408534169197083,0.6000000238418579,0.09114017337560654,100,0.001
11,0.6503036618232727,0.699999988079071,0.0809996947646141,100,0.001
12,0.670694887638092,0.4000000059604645,0.1180388480424881,100,0.001
13,0.6136139631271362,0.6000000238418579,0.0842306911945343,100,0.001
14,0.8251932263374329,0.5,0.07824002206325531,100,0.001
15,0.6637806296348572,0.4000000059604645,0.07698310166597366,100,0.001
16,0.8426229357719421,0.5,0.0906124860048294,100,0.001
17,0.6447504758834839,0.699999988079071,0.09279485791921616,100,0.001
18,0.6442641615867615,0.6000000238418579,0.12641941010951996,100,0.001
19,0.5537206530570984,0.800000011920929,0.10671327263116837,100,0.001
20,0.6928998827934265,0.6000000238418579,0.09689507633447647,100,0.001
21,0.8040237426757812,0.4000000059604645,0.11011173576116562,100,0.001
22,0.5877179503440857,0.6000000238418579,0.07632080465555191,100,0.001
23,0.6809877753257751,0.6000000238418579,0.1065046563744545,100,0.001
24,0.7897491455078125,0.5,0.06908490508794785,100,0.001
25,0.851590633392334,0.6000000238418579,0.08652397245168686,100,0.001
26,0.6111535429954529,0.6000000238418579,0.09433748573064804,100,0.001
27,0.5917980074882507,0.699999988079071,0.07223578542470932,100,0.001
28,0.6286539435386658,0.5,0.10726099461317062,100,0.001
29,0.4776858389377594,0.699999988079071,0.09240174293518066,100,0.001
30,0.7674404978752136,0.4000000059604645,0.07046554237604141,100,0.001
31,0.6669045686721802,0.699999988079071,0.08455992490053177,100,0.001
32,0.6880845427513123,0.6000000238418579,0.07680898159742355,100,0.001
33,0.7173619270324707,0.5,0.08272603899240494,100,0.001
34,0.7635132670402527,0.6000000238418579,0.08307813853025436,100,0.001
35,0.4779321253299713,0.9000000357627869,0.0902775228023529,100,0.001
36,0.9411922693252563,0.30000001192092896,0.09529667347669601,100,0.001
37,0.9431656002998352,0.5,0.06023816019296646,100,0.001
38,0.7430866360664368,0.5,0.09299932420253754,100,0.001
39,0.6571716666221619,0.699999988079071,0.10623469203710556,100,0.001
40,0.6111681461334229,0.699999988079071,0.08159679174423218,100,0.001
41,0.6795499324798584,0.5,0.09691353142261505,100,0.001
42,0.8571653366088867,0.30000001192092896,0.11070401966571808,100,0.001
43,0.8675445914268494,0.5,0.07916883379220963,100,0.001
44,1.2662508487701416,0.5,0.06478685885667801,100,0.001
45,0.5503169894218445,0.800000011920929,0.09506211429834366,100,0.001
46,1.5884867906570435,0.5,0.09461253136396408,100,0.001
47,0.7631772756576538,0.6000000238418579,0.07456223666667938,100,0.001
48,0.7189651131629944,0.5,0.10978629440069199,100,0.001
49,0.9915890097618103,0.4000000059604645,0.08400928229093552,100,0.001
50,0.6186919212341309,0.6000000238418579,0.07270518690347672,100,0.001
51,0.7369735836982727,0.5,0.10092301666736603,100,0.001
52,0.48779043555259705,0.699999988079071,0.10131178051233292,100,0.001
53,0.843044102191925,0.5,0.08905542641878128,100,0.001
54,0.8512775301933289,0.4000000059604645,0.10044818371534348,100,0.001
55,0.7902162671089172,0.5,0.07765928655862808,100,0.001
56,0.6050016283988953,0.5,0.07589301466941833,100,0.001
57,0.6152357459068298,0.5,0.10925590991973877,100,0.001
58,0.8510401844978333,0.5,0.09412527084350586,100,0.001
59,0.9061352610588074,0.5,0.07621250301599503,100,0.001
60,0.9035162329673767,0.5,0.07354606688022614,100,0.001
61,0.452726811170578,0.9000000357627869,0.10050423443317413,100,0.001
62,0.7159489989280701,0.5,0.13133881986141205,100,0.001
63,0.7731555700302124,0.5,0.06844956427812576,100,0.001
64,0.7198191285133362,0.6000000238418579,0.06991862505674362,100,0.001
65,0.6167061924934387,0.5,0.09636338800191879,100,0.001
66,0.672245979309082,0.6000000238418579,0.07873307913541794,100,0.001
67,0.7038210034370422,0.30000001192092896,0.08314000815153122,100,0.001
68,0.6106815934181213,0.800000011920929,0.17711633443832397,100,0.001
69,0.7379941344261169,0.699999988079071,0.06574296206235886,100,0.001
70,0.6603068709373474,0.5,0.09720635414123535,100,0.001
71,0.5397610068321228,0.800000011920929,0.09273628890514374,100,0.001
72,0.7129175066947937,0.5,0.08371739089488983,100,0.001
73,0.7927383780479431,0.5,0.08818899095058441,100,0.001
74,0.7666537165641785,0.30000001192092896,0.1128997951745987,100,0.001
75,0.8697046637535095,0.5,0.0810697004199028,100,0.001
76,1.0274759531021118,0.6000000238418579,0.08621805161237717,100,0.001
77,0.7685683369636536,0.4000000059604645,0.0771937295794487,100,0.001
78,0.607209324836731,0.6000000238418579,0.08464279025793076,100,0.001
79,0.7978202700614929,0.6000000238418579,0.10212987661361694,100,0.001
80,0.6865968108177185,0.4000000059604645,0.07703951746225357,100,0.001
81,0.4930756986141205,0.9000000357627869,0.08741168677806854,100,0.001
82,0.958770215511322,0.20000000298023224,0.07943427562713623,100,0.001
83,0.9656385779380798,0.5,0.08185037970542908,100,0.001
84,0.7876819968223572,0.5,0.08697467297315598,100,0.001
85,0.7503647804260254,0.6000000238418579,0.09236464649438858,100,0.001
86,0.8179994821548462,0.4000000059604645,0.08914867788553238,100,0.001
87,0.639998733997345,0.6000000238418579,0.08451050519943237,100,0.001
88,0.7611350417137146,0.30000001192092896,0.09771477431058884,100,0.001
89,0.6923450827598572,0.6000000238418579,0.12038051337003708,100,0.001
90,0.740740180015564,0.6000000238418579,0.08619093149900436,100,0.001
91,0.5770946741104126,0.800000011920929,0.09110500663518906,100,0.001
92,0.7486013770103455,0.5,0.11350363492965698,100,0.001
93,0.5188345313072205,0.6000000238418579,0.08475665003061295,100,0.001
94,0.6651256084442139,0.5,0.07812970876693726,100,0.001
95,0.8096567988395691,0.5,0.0961056724190712,100,0.001
96,0.5475978255271912,0.800000011920929,0.09063653647899628,100,0.001
97,0.7995303869247437,0.6000000238418579,0.0992894172668457,100,0.001
98,0.9542037844657898,0.6000000238418579,0.08357840776443481,100,0.001
99,0.6518529653549194,0.6000000238418579,0.08383242040872574,100,0.001
100,0.7056774497032166,0.5,0.07593303173780441,100,0.001
