task_idx,query_loss,query_accuracy,final_support_loss,num_sgd_steps,lr
0,0.6476842761039734,0.6000000238418579,0.0634804517030716,32,0.01
1,0.6664847731590271,0.6000000238418579,0.08366366475820541,32,0.01
2,0.5733092427253723,0.6500000357627869,0.0941384807229042,32,0.01
3,0.6244938969612122,0.699999988079071,0.07756519317626953,32,0.01
4,0.5429670214653015,0.699999988079071,0.059560347348451614,32,0.01
5,0.5136540532112122,0.699999988079071,0.06430915743112564,32,0.01
6,0.46886858344078064,0.75,0.05728341266512871,32,0.01
7,0.8068155646324158,0.5,0.055830277502536774,32,0.01
8,0.6822382211685181,0.550000011920929,0.07133997976779938,32,0.01
9,0.8134312033653259,0.550000011920929,0.07471426576375961,32,0.01
10,0.5566965341567993,0.699999988079071,0.07122915238142014,32,0.01
11,0.7832362055778503,0.6000000238418579,0.0637190118432045,32,0.01
12,0.7256876826286316,0.6000000238418579,0.057988494634628296,32,0.01
13,0.6760587096214294,0.6500000357627869,0.05688771232962608,32,0.01
14,0.5531099438667297,0.75,0.0706523209810257,32,0.01
15,0.4646364152431488,0.8500000238418579,0.07129140943288803,32,0.01
16,0.8382647633552551,0.5,0.05473654344677925,32,0.01
17,0.5170997977256775,0.800000011920929,0.0762815922498703,32,0.01
18,0.4113008975982666,0.8500000238418579,0.07053518295288086,32,0.01
19,0.6797502636909485,0.550000011920929,0.06109356880187988,32,0.01
20,0.49345436692237854,0.699999988079071,0.056444860994815826,32,0.01
21,0.6818670630455017,0.550000011920929,0.06169533729553223,32,0.01
22,0.7317361235618591,0.550000011920929,0.0622640959918499,32,0.01
23,0.7766978144645691,0.5,0.05446124076843262,32,0.01
24,0.9268507361412048,0.5,0.05572444200515747,32,0.01
25,0.6580929160118103,0.5,0.06371583044528961,32,0.01
26,0.8336553573608398,0.550000011920929,0.059488095343112946,32,0.01
27,0.8371023535728455,0.5,0.06461968272924423,32,0.01
28,0.9671085476875305,0.5,0.06769050657749176,32,0.01
29,0.5711263418197632,0.75,0.05808079242706299,32,0.01
30,0.5194414258003235,0.8500000238418579,0.06521236151456833,32,0.01
31,0.5054057836532593,0.800000011920929,0.06640782207250595,32,0.01
32,0.6409856677055359,0.6000000238418579,0.08141239732503891,32,0.01
33,0.5702352523803711,0.75,0.05723855644464493,32,0.01
34,0.7888381481170654,0.6000000238418579,0.07518523186445236,32,0.01
35,0.6452909708023071,0.699999988079071,0.057712435722351074,32,0.01
36,0.6062301993370056,0.6000000238418579,0.05627366900444031,32,0.01
37,0.8314496874809265,0.550000011920929,0.0554187186062336,32,0.01
38,0.570205807685852,0.6000000238418579,0.06733568757772446,32,0.01
39,0.666054904460907,0.6000000238418579,0.06592079252004623,32,0.01
40,0.8165232539176941,0.550000011920929,0.05001145601272583,32,0.01
41,0.6912156343460083,0.5,0.07203205674886703,32,0.01
42,0.6661093831062317,0.6000000238418579,0.060959286987781525,32,0.01
43,0.7339445948600769,0.550000011920929,0.06239285692572594,32,0.01
44,0.7940888404846191,0.6500000357627869,0.05502079054713249,32,0.01
45,0.5869316458702087,0.699999988079071,0.0690106526017189,32,0.01
46,0.6306629180908203,0.6500000357627869,0.049855899065732956,32,0.01
47,0.5419026613235474,0.75,0.06290366500616074,32,0.01
48,0.611136257648468,0.6500000357627869,0.0800209566950798,32,0.01
49,0.6495540738105774,0.699999988079071,0.058678269386291504,32,0.01
50,0.7026662826538086,0.550000011920929,0.05297423526644707,32,0.01
51,0.5467016100883484,0.9000000357627869,0.06956429779529572,32,0.01
52,0.6999861001968384,0.6000000238418579,0.06541353464126587,32,0.01
53,0.45728322863578796,0.800000011920929,0.06550320237874985,32,0.01
54,0.6370736956596375,0.550000011920929,0.05848832055926323,32,0.01
55,0.6523329615592957,0.6500000357627869,0.0575052872300148,32,0.01
56,0.5452244877815247,0.6500000357627869,0.06269863992929459,32,0.01
57,0.7472989559173584,0.6000000238418579,0.06077197194099426,32,0.01
58,0.6804124116897583,0.6500000357627869,0.05293210223317146,32,0.01
59,0.8235214352607727,0.550000011920929,0.05286397412419319,32,0.01
60,0.5664538145065308,0.6000000238418579,0.06616703420877457,32,0.01
61,0.5365154147148132,0.6000000238418579,0.060728561133146286,32,0.01
62,0.44339948892593384,0.8500000238418579,0.07225557416677475,32,0.01
63,0.5878017544746399,0.699999988079071,0.04985561966896057,32,0.01
64,0.7001323699951172,0.6000000238418579,0.055166613310575485,32,0.01
65,0.770535945892334,0.550000011920929,0.06958770006895065,32,0.01
66,0.5346100926399231,0.699999988079071,0.061026133596897125,32,0.01
67,0.49611255526542664,0.8500000238418579,0.061867326498031616,32,0.01
68,0.6485232710838318,0.550000011920929,0.07877440005540848,32,0.01
69,0.6973798871040344,0.550000011920929,0.06648664176464081,32,0.01
70,0.725922167301178,0.6000000238418579,0.06141531467437744,32,0.01
71,0.9137079119682312,0.5,0.058884020894765854,32,0.01
72,0.6629344820976257,0.6000000238418579,0.05598796531558037,32,0.01
73,0.6351613402366638,0.6000000238418579,0.061051081866025925,32,0.01
74,0.5115894079208374,0.75,0.06348297744989395,32,0.01
75,0.6073167324066162,0.699999988079071,0.0726746916770935,32,0.01
76,0.6638206243515015,0.550000011920929,0.05499624088406563,32,0.01
77,0.9057759642601013,0.5,0.04384303092956543,32,0.01
78,0.6373870968818665,0.550000011920929,0.05282877758145332,32,0.01
79,0.624316394329071,0.75,0.0646890327334404,32,0.01
80,0.7416505217552185,0.6000000238418579,0.06781350821256638,32,0.01
81,0.5749003291130066,0.75,0.07124447077512741,32,0.01
