task_idx,query_loss,query_accuracy,final_support_loss,num_sgd_steps,lr
0,0.7128240466117859,0.6000000238418579,0.09821640700101852,100,0.001
1,0.8763476610183716,0.4000000059604645,0.0928957462310791,100,0.001
2,0.6701644659042358,0.5,0.08065866678953171,100,0.001
3,0.7484402060508728,0.5,0.08025465160608292,100,0.001
4,0.7452214956283569,0.800000011920929,0.08933492749929428,100,0.001
5,0.7880258560180664,0.4000000059604645,0.07884956896305084,100,0.001
6,0.6477514505386353,0.699999988079071,0.10032001882791519,100,0.001
7,1.0037239789962769,0.4000000059604645,0.0869382992386818,100,0.001
8,0.8065254092216492,0.5,0.10883239656686783,100,0.001
9,0.8449125289916992,0.30000001192092896,0.08497468382120132,100,0.001
10,0.8341689109802246,0.4000000059604645,0.08575282245874405,100,0.001
11,0.7718328833580017,0.6000000238418579,0.073680579662323,100,0.001
12,0.5231534838676453,0.699999988079071,0.06880082935094833,100,0.001
13,0.6090703010559082,1.0,0.0801193043589592,100,0.001
14,0.6817252039909363,0.6000000238418579,0.09424123913049698,100,0.001
15,0.6284142732620239,0.6000000238418579,0.08693178743124008,100,0.001
16,0.5222472548484802,0.699999988079071,0.08235102146863937,100,0.001
17,0.6794196367263794,0.6000000238418579,0.07375612109899521,100,0.001
18,0.7124580144882202,0.5,0.09056269377470016,100,0.001
19,0.7189418077468872,0.5,0.07450301945209503,100,0.001
20,0.6612223982810974,0.6000000238418579,0.08245431631803513,100,0.001
21,0.6294690370559692,0.6000000238418579,0.06980414688587189,100,0.001
22,0.6856455206871033,0.5,0.07672790437936783,100,0.001
23,0.6383053660392761,0.6000000238418579,0.09106072783470154,100,0.001
24,0.8410690426826477,0.5,0.08665132522583008,100,0.001
25,0.7586231231689453,0.6000000238418579,0.09589841961860657,100,0.001
26,0.7163729667663574,0.6000000238418579,0.07700096815824509,100,0.001
27,0.7915831804275513,0.4000000059604645,0.07523777335882187,100,0.001
28,0.6802131533622742,0.5,0.08444737643003464,100,0.001
29,0.7750059962272644,0.4000000059604645,0.07488808780908585,100,0.001
30,0.714809238910675,0.5,0.06319019198417664,100,0.001
31,0.6002441644668579,0.6000000238418579,0.10092391073703766,100,0.001
32,0.6725501418113708,0.6000000238418579,0.08350235223770142,100,0.001
33,0.7358924150466919,0.6000000238418579,0.09329359978437424,100,0.001
34,0.6986702084541321,0.5,0.07751623541116714,100,0.001
35,0.8030935525894165,0.6000000238418579,0.0807744488120079,100,0.001
36,0.9293856024742126,0.5,0.07880869507789612,100,0.001
37,0.49981340765953064,0.9000000357627869,0.08232449740171432,100,0.001
38,0.8832556009292603,0.5,0.09655934572219849,100,0.001
39,0.7154150605201721,0.699999988079071,0.08027828484773636,100,0.001
40,0.66815584897995,0.6000000238418579,0.09881055355072021,100,0.001
41,1.216611623764038,0.5,0.09156756848096848,100,0.001
42,0.7786877751350403,0.6000000238418579,0.07824677228927612,100,0.001
43,1.137730598449707,0.30000001192092896,0.08613749593496323,100,0.001
44,0.994478702545166,0.30000001192092896,0.07150312513113022,100,0.001
45,1.072587013244629,0.5,0.09499108791351318,100,0.001
46,0.5345978736877441,0.800000011920929,0.07980751246213913,100,0.001
47,0.781754732131958,0.5,0.0897727832198143,100,0.001
48,1.0915048122406006,0.6000000238418579,0.07699009031057358,100,0.001
49,0.6428375244140625,0.699999988079071,0.10806550830602646,100,0.001
50,0.7843342423439026,0.6000000238418579,0.08321705460548401,100,0.001
51,1.0915662050247192,0.6000000238418579,0.06798721849918365,100,0.001
52,0.9755355715751648,0.5,0.0863926038146019,100,0.001
53,0.5938917994499207,0.699999988079071,0.10106535255908966,100,0.001
54,0.6875575184822083,0.5,0.09636224806308746,100,0.001
55,0.6353129744529724,0.6000000238418579,0.06682206690311432,100,0.001
56,0.6475306153297424,0.6000000238418579,0.08219703286886215,100,0.001
57,3.245234251022339,0.6000000238418579,0.12935467064380646,100,0.001
58,0.7365798354148865,0.5,0.08475341647863388,100,0.001
59,0.9760442972183228,0.4000000059604645,0.08846327662467957,100,0.001
60,0.49629026651382446,0.800000011920929,0.0787360817193985,100,0.001
61,0.6950775980949402,0.5,0.08790544420480728,100,0.001
62,0.7199715971946716,0.5,0.11377763003110886,100,0.001
63,1.0233888626098633,0.5,0.08379840850830078,100,0.001
64,0.7370905876159668,0.5,0.08030162006616592,100,0.001
65,0.7334744334220886,0.6000000238418579,0.08453875035047531,100,0.001
66,0.7134975790977478,0.5,0.061563827097415924,100,0.001
67,0.7563559412956238,0.4000000059604645,0.07244179397821426,100,0.001
68,0.507436215877533,0.800000011920929,0.06238953024148941,100,0.001
69,1.008362054824829,0.5,0.05921906977891922,100,0.001
70,0.7956555485725403,0.5,0.09831108152866364,100,0.001
71,0.6668009161949158,0.5,0.08651050925254822,100,0.001
72,0.7959577441215515,0.5,0.0783165842294693,100,0.001
73,0.7833518385887146,0.5,0.08001377433538437,100,0.001
74,1.0631388425827026,0.4000000059604645,0.1309192031621933,100,0.001
75,0.5409576892852783,0.6000000238418579,0.08589313179254532,100,0.001
76,0.609900712966919,0.5,0.08673255890607834,100,0.001
77,0.5466781854629517,0.699999988079071,0.08464546501636505,100,0.001
78,0.7583699822425842,0.4000000059604645,0.0923917219042778,100,0.001
79,0.633398711681366,0.699999988079071,0.1061047837138176,100,0.001
80,0.8106695413589478,0.20000000298023224,0.10007957369089127,100,0.001
81,0.6633061170578003,0.699999988079071,0.07849564403295517,100,0.001
82,0.7137488722801208,0.5,0.06357341259717941,100,0.001
83,0.6464940309524536,0.699999988079071,0.07634102553129196,100,0.001
84,0.7237715721130371,0.6000000238418579,0.06452567875385284,100,0.001
85,1.1237092018127441,0.5,0.0836508646607399,100,0.001
86,0.6401907801628113,0.699999988079071,0.08495815098285675,100,0.001
87,0.6373534798622131,0.6000000238418579,0.11971373856067657,100,0.001
88,0.6459636688232422,0.4000000059604645,0.08120163530111313,100,0.001
89,0.8188945651054382,0.5,0.09599105268716812,100,0.001
90,0.7456275820732117,0.4000000059604645,0.06878270208835602,100,0.001
91,0.684472382068634,0.6000000238418579,0.07063503563404083,100,0.001
92,1.2376060485839844,0.5,0.07995518296957016,100,0.001
93,0.6768020987510681,0.6000000238418579,0.06936448067426682,100,0.001
94,0.670365571975708,0.6000000238418579,0.07069273293018341,100,0.001
95,0.7042922973632812,0.6000000238418579,0.08633061498403549,100,0.001
96,0.8239524960517883,0.5,0.11477843672037125,100,0.001
97,0.7080162167549133,0.5,0.07638606429100037,100,0.001
98,0.8186309933662415,0.5,0.0835658460855484,100,0.001
99,0.6121703386306763,0.699999988079071,0.07014467567205429,100,0.001
